,pred,true
0,13.94649,14.424277
1,13.430728,13.927106
2,13.94323,14.493988
3,15.521649,15.973528
4,18.062218,18.731018
5,22.330025,22.974333
6,24.065058,24.60787
7,22.887442,23.424208
8,20.843836,21.597645
9,17.011917,18.09347
10,14.869841,16.067514
11,15.031503,15.855343
12,14.5674715,15.068716
13,14.060186,14.4915495
14,14.47823,14.932244
15,15.891438,16.266077
16,18.148594,18.73636
17,21.956808,22.560013
18,23.44116,24.05333
19,22.31282,23.023428
20,20.487152,21.450245
21,17.070581,18.403406
22,15.148615,16.463432
23,15.34995,15.912285
24,14.954035,14.725008
25,14.243657,13.535626
26,14.216394,13.805478
27,15.189871,15.49108
28,18.024393,18.400656
29,22.387417,22.929081
30,24.454525,24.511633
31,23.144594,22.847828
32,21.13553,20.486385
33,17.203592,16.25496
34,14.155491,13.86249
35,13.482791,13.723811
36,12.455324,13.070417
37,11.627736,12.84124
38,12.791032,13.569523
39,15.041994,15.0875225
40,18.076078,17.90532
41,22.401834,22.172638
42,23.473812,23.59927
43,22.12014,21.964493
44,19.936213,19.484533
45,15.774592,15.064101
46,12.907661,12.365439
47,12.221597,11.752849
48,11.228454,10.535725
49,10.304219,9.622631
50,10.768973,10.218926
51,12.892839,12.228276
52,17.272053,15.813484
53,22.325796,21.316545
54,24.045229,23.435633
55,22.33894,21.861347
56,19.832947,19.466547
57,15.179118,14.897801
58,12.220551,12.121049
59,11.7729435,11.564884
60,11.010162,10.178064
61,10.078471,8.942081
62,10.474312,9.462292
63,12.763613,11.626842
64,17.13101,15.456106
65,22.492132,21.38422
66,24.822922,23.730495
67,22.992136,22.158386
68,19.89904,19.799984
69,14.871021,15.210935
70,11.86787,12.534723
71,11.714284,12.23789
72,11.137897,11.113869
73,10.365148,10.195471
74,10.778323,10.643764
75,13.099567,12.288571
76,16.467869,15.401721
77,21.195118,20.287594
78,23.111315,22.264376
79,21.723747,21.092243
80,19.053297,19.31289
81,14.717607,15.750803
82,12.216251,13.569868
83,12.378427,13.1278305
84,12.059513,11.917687
85,11.417189,10.7195635
86,11.562186,11.32392
87,13.165076,13.672635
88,16.149017,17.533154
89,21.467207,23.386919
90,24.219347,25.582228
91,22.954992,23.743961
92,20.507446,21.019142
93,16.211817,15.953266
94,13.421362,13.137071
95,13.039379,13.07976
96,11.915414,12.34904
97,11.049009,12.103913
98,11.8674755,12.858008
99,13.96888,14.38507
100,17.054644,17.379692
101,21.816168,21.981842
102,23.48216,23.74313
103,22.397602,22.470093
104,20.113995,20.456736
105,15.825893,16.586462
106,13.383015,14.22938
107,13.437144,13.730653
108,12.973737,12.527952
109,12.451803,11.449137
110,12.501946,11.840588
111,13.838531,13.609585
112,17.224451,16.775446
113,21.880892,21.703337
114,24.139326,23.565502
115,22.675919,22.07444
116,20.224636,19.888374
117,15.917309,15.778425
118,12.98464,13.249215
119,12.732786,12.693643
120,12.014835,11.392044
121,11.115173,10.215905
122,11.41512,10.729404
123,13.322036,12.845154
124,17.009077,16.517237
125,22.336754,22.170294
126,24.696291,24.363083
127,23.060553,22.760805
128,20.300875,20.368078
129,15.618153,15.795208
130,12.806514,13.016811
131,12.610846,12.47751
132,11.943766,11.094421
133,11.011908,9.855691
134,11.120448,10.422917
135,13.110721,12.685683
136,17.00851,16.644218
137,22.896994,22.747494
138,25.585255,25.06854
139,23.933607,23.248333
140,20.793545,20.548439
141,15.739946,15.456555
142,12.646976,12.550578
143,12.36386,12.338324
144,11.5182085,11.346686
145,10.689939,10.72341
146,11.226147,11.063978
147,13.421522,12.132618
148,16.782589,14.566844
149,20.728296,18.517776
150,21.295471,20.0954
151,19.501072,19.153622
152,17.64637,17.728394
153,14.266159,14.860846
154,12.193669,13.07678
155,12.206495,12.654152
156,11.707482,11.577704
157,11.043107,10.463505
158,11.332928,10.918599
159,13.022014,12.906802
160,16.379087,16.148369
161,20.636208,21.073359
162,22.633188,23.038506
163,21.217693,21.730946
164,19.20542,19.765244
165,15.361456,15.948336
166,12.919989,13.582197
167,12.73672,13.045874
168,12.046605,11.744389
169,11.124034,10.498922
170,11.420086,11.014084
171,13.171158,13.2226095
172,16.425493,16.970507
173,21.748667,22.719883
174,24.38625,24.884819
175,23.160225,23.107576
176,20.537518,20.491695
177,15.97473,15.605694
178,13.018214,12.899468
179,12.62971,12.8694515
180,11.622495,12.172557
181,10.794505,11.931203
182,11.708733,12.341509
183,13.760648,13.148128
184,16.731178,15.162489
185,20.183731,18.429173
186,20.235332,19.692875
187,18.604256,18.859997
188,17.129025,17.56911
189,14.242777,15.023665
190,12.407863,13.353861
191,12.279122,12.780361
192,11.823636,11.611901
193,11.256548,10.36163
194,11.389897,10.725186
195,12.684695,12.705121
196,15.977388,15.897729
197,20.073526,20.762543
198,22.13486,22.666424
199,20.851482,21.28135
200,19.072357,19.240578
201,15.339593,15.348525
202,12.692962,13.154834
203,12.327774,13.067151
